Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
05-04-20,India,SEARO,472,3374,9,77,06-04-20,4067,693,109,32,2.947,0.502,0.079,0.023,101068,11534,0.073,0.008,9036,0.007,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
06-04-20,India,SEARO,693,4067,32,109,07-04-20,4421,354,114,5,3.204,0.257,0.083,0.004,114015,12947,0.083,0.009,10403,0.008,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
07-04-20,India,SEARO,354,4421,5,114,08-04-20,5194,773,149,35,3.764,0.56,0.108,0.025,127919,13904,0.093,0.01,11906,0.009,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
08-04-20,India,SEARO,853,5274,35,149,09-04-20,5734,540,166,17,4.155,0.391,0.12,0.012,144910,16991,0.105,0.012,13851,0.01,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
09-04-20,India,SEARO,591,5865,20,169,10-04-20,6412,678,199,33,4.646,0.491,0.144,0.024,161330,16420,0.117,0.012,13155,0.01,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
10-04-20,India,SEARO,547,6412,30,199,11-04-20,7447,1035,239,40,5.396,0.75,0.173,0.029,179374,18044,0.13,0.013,14203,0.01,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
11-04-20,India,SEARO,1035,7447,40,239,12-04-20,8356,909,273,34,6.055,0.659,0.198,0.025,195748,16374,0.142,0.012,15173,0.011,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
12-04-20,India,SEARO,909,8356,34,273,13-04-20,9152,796,308,35,6.632,0.577,0.223,0.025,217554,21806,0.158,0.016,16641,0.012,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
13-04-20,India,SEARO,796,9152,35,308,14-04-20,10363,1211,339,31,7.509,0.878,0.246,0.022,244893,27339,0.177,0.02,18697,0.014,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
14-04-20,India,SEARO,1211,10363,31,339,15-04-20,11438,1075,377,38,8.288,0.779,0.273,0.028,274599,29706,0.199,0.022,20954,0.015,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,3,2,100
